HSY,Packaged Foods & Meats
HES,Integrated Oil & Gas
HPE,"Technology Hardware, Storage & Peripherals"
HLT,"Hotels, Resorts & Cruise Lines"
HOLX,Health Care Equipment
HD,Home Improvement Retail
HON,Industrial Conglomerates
HRL,Packaged Foods & Meats
HST,Hotel & Resort REITs
HWM,Aerospace & Defense
HPQ,"Technology Hardware, Storage & Peripherals"
HUM,Managed Health Care
HII,Aerospace & Defense
HBAN,Regional Banks
IEX,Industrial Machinery
IDXX,Health Care Equipment
ITW,Industrial Machinery
ILMN,Life Sciences Tools & Services
INCY,Biotechnology
IR,Industrial Machinery
INTC,Semiconductors
ICE,Financial Exchanges & Data
IBM,IT Consulting & Other Services
IP,Paper Packaging
IPG,Advertising
IFF,Specialty Chemicals
INTU,Application Software
ISRG,Health Care Equipment
IVZ,Asset Management & Custody Banks
IPGP,Electronic Manufacturing Services
IQV,Life Sciences Tools & Services
IRM,Specialized REITs
JBHT,Trucking
JKHY,Data Processing & Outsourced Services
J,Construction & Engineering
JNJ,Pharmaceuticals
JCI,Building Products
JPM,Diversified Banks
JNPR,Communications Equipment
K,Packaged Foods & Meats
KEY,Regional Banks
KEYS,Electronic Equipment & Instruments
KMB,Household Products
KIM,Retail REITs
KMI,Oil & Gas Storage & Transportation
KLAC,Semiconductor Equipment
KHC,Packaged Foods & Meats
KR,Food Retail
LHX,Aerospace & Defense
LH,Health Care Services
LRCX,Semiconductor Equipment
LW,Packaged Foods & Meats
LVS,Casinos & Gaming
LDOS,Diversified Support Services
LEN,Homebuilding
LLY,Pharmaceuticals
LNC,Multi-line Insurance
LIN,Industrial Gases
LYV,Movies & Entertainment
LKQ,Distributors
LMT,Aerospace & Defense
L,Multi-line Insurance
LOW,Home Improvement Retail
LUMN,Alternative Carriers
LYB,Specialty Chemicals
MTB,Regional Banks
MRO,Oil & Gas Exploration & Production
MPC,Oil & Gas Refining & Marketing
MKTX,Financial Exchanges & Data
MAR,"Hotels, Resorts & Cruise Lines"
MMC,Insurance Brokers
MLM,Construction Materials
MAS,Building Products
MA,Data Processing & Outsourced Services
MTCH,Interactive Media & Services
MKC,Packaged Foods & Meats
MCD,Restaurants
MCK,Health Care Distributors
MDT,Health Care Equipment
MRK,Pharmaceuticals
FB,Interactive Media & Services
MET,Life & Health Insurance
MTD,Life Sciences Tools & Services
MGM,Casinos & Gaming
MCHP,Semiconductors
MU,Semiconductors
MSFT,Systems Software
MAA,Residential REITs
MRNA,Biotechnology
MHK,Home Furnishings
MOH,Managed Health Care
TAP,Brewers
MDLZ,Packaged Foods & Meats
MPWR,Semiconductors
MNST,Soft Drinks
MCO,Financial Exchanges & Data
MS,Investment Banking & Brokerage
MOS,Fertilizers & Agricultural Chemicals
MSI,Communications Equipment
MSCI,Financial Exchanges & Data
NDAQ,Financial Exchanges & Data
NTAP,"Technology Hardware, Storage & Peripherals"
NFLX,Movies & Entertainment
NWL,Housewares & Specialties
NEM,Gold
NWSA,Publishing
NWS,Publishing
NEE,Multi-Utilities
NLSN,Research & Consulting Services
NKE,"Apparel, Accessories & Luxury Goods"
NI,Multi-Utilities
NDSN,Industrial Machinery
NSC,Railroads
NTRS,Asset Management & Custody Banks
NOC,Aerospace & Defense
NLOK,Application Software
NCLH,"Hotels, Resorts & Cruise Lines"
NRG,Independent Power Producers & Energy Traders
NUE,Steel
NVDA,Semiconductors
NVR,Homebuilding
NXPI,Semiconductors
ORLY,Specialty Stores
OXY,Oil & Gas Exploration & Production
ODFL,Trucking
OMC,Advertising
OKE,Oil & Gas Storage & Transportation
ORCL,Application Software
OGN,Pharmaceuticals
OTIS,Industrial Machinery
PCAR,Construction Machinery & Heavy Trucks
PKG,Paper Packaging
PARA,Movies & Entertainment
PH,Industrial Machinery
PAYX,Data Processing & Outsourced Services
PAYC,Application Software
PYPL,Data Processing & Outsourced Services
PENN,Casinos & Gaming
PNR,Industrial Machinery
PEP,Soft Drinks
PKI,Health Care Equipment
PFE,Pharmaceuticals
PM,Tobacco
PSX,Oil & Gas Refining & Marketing
PNW,Multi-Utilities
PXD,Oil & Gas Exploration & Production
PNC,Regional Banks
POOL,Distributors
PPG,Specialty Chemicals
PPL,Electric Utilities
PFG,Life & Health Insurance
PG,Personal Products
PGR,Property & Casualty Insurance
PLD,Industrial REITs
PRU,Life & Health Insurance
PEG,Electric Utilities
PTC,Application Software
PSA,Specialized REITs
PHM,Homebuilding
PVH,"Apparel, Accessories & Luxury Goods"
QRVO,Semiconductors
PWR,Construction & Engineering
QCOM,Semiconductors
DGX,Health Care Services
RL,"Apparel, Accessories & Luxury Goods"
RJF,Investment Banking & Brokerage
RTX,Aerospace & Defense
O,Retail REITs
REG,Retail REITs
REGN,Biotechnology
RF,Regional Banks
RSG,Environmental & Facilities Services
RMD,Health Care Equipment
RHI,Human Resource & Employment Services
ROK,Electrical Components & Equipment
ROL,Environmental & Facilities Services
ROP,Industrial Conglomerates
ROST,Apparel Retail
RCL,"Hotels, Resorts & Cruise Lines"
SPGI,Financial Exchanges & Data
CRM,Application Software
SBAC,Specialized REITs
SLB,Oil & Gas Equipment & Services
STX,"Technology Hardware, Storage & Peripherals"
SEE,Paper Packaging
SRE,Multi-Utilities
NOW,Systems Software
SHW,Specialty Chemicals
SBNY,Regional Banks
SPG,Retail REITs
SWKS,Semiconductors
SJM,Packaged Foods & Meats
SNA,Industrial Machinery
SEDG,Semiconductor Equipment
SO,Electric Utilities
LUV,Airlines
SWK,Industrial Machinery
SBUX,Restaurants
STT,Asset Management & Custody Banks
STE,Health Care Equipment
SYK,Health Care Equipment
SIVB,Regional Banks
SYF,Consumer Finance
SNPS,Application Software
SYY,Food Distributors
TMUS,Wireless Telecommunication Services
TROW,Asset Management & Custody Banks
TTWO,Interactive Home Entertainment
TPR,"Apparel, Accessories & Luxury Goods"
TGT,General Merchandise Stores
TEL,Electronic Manufacturing Services
TDY,Aerospace & Defense
TFX,Health Care Equipment
TER,Semiconductor Equipment
TSLA,Automobile Manufacturers
TXN,Semiconductors
TXT,Aerospace & Defense
TMO,Life Sciences Tools & Services
TJX,Apparel Retail
TSCO,Specialty Stores
TT,Building Products
TDG,Aerospace & Defense
TRV,Property & Casualty Insurance
TRMB,Electronic Equipment & Instruments
TFC,Regional Banks
TWTR,Interactive Media & Services
TYL,Application Software
TSN,Packaged Foods & Meats
USB,Diversified Banks
UDR,Residential REITs
ULTA,Specialty Stores
UAA,"Apparel, Accessories & Luxury Goods"
UA,"Apparel, Accessories & Luxury Goods"
UNP,Railroads
UAL,Airlines
UNH,Managed Health Care
UPS,Air Freight & Logistics
URI,Trading Companies & Distributors
UHS,Health Care Facilities
VLO,Oil & Gas Refining & Marketing
VTR,Health Care REITs
VRSN,Internet Services & Infrastructure
VRSK,Research & Consulting Services
VZ,Integrated Telecommunication Services
VRTX,Biotechnology
VFC,"Apparel, Accessories & Luxury Goods"
VTRS,Pharmaceuticals
V,Data Processing & Outsourced Services
VNO,Office REITs
VMC,Construction Materials
WAB,Construction Machinery & Heavy Trucks
WMT,Hypermarkets & Super Centers
WBA,Drug Retail
WBD,Broadcasting
WM,Environmental & Facilities Services
WAT,Health Care Distributors
WEC,Electric Utilities
WFC,Diversified Banks
WELL,Health Care REITs
WST,Health Care Supplies
WDC,"Technology Hardware, Storage & Peripherals"
WRK,Paper Packaging
WY,Specialized REITs
WHR,Household Appliances
WMB,Oil & Gas Storage & Transportation
WTW,Insurance Brokers
WYNN,Casinos & Gaming
XEL,Multi-Utilities
XYL,Industrial Machinery
YUM,Restaurants
ZBRA,Electronic Equipment & Instruments
ZBH,Health Care Equipment
ZION,Regional Banks
ZTS,Pharmaceuticals
